index	label	cifti_label	color_red	color_green	color_blue	opacity
8	CEREBELLUM_LEFT	CEREBELLUM_LEFT	230	147	33	255
10	THALAMUS_LEFT	THALAMUS_LEFT	0	117	14	255
11	CAUDATE_LEFT	CAUDATE_LEFT	121	186	219	255
12	PUTAMEN_LEFT	PUTAMEN_LEFT	235	13	175	255
13	PALLIDUM_LEFT	PALLIDUM_LEFT	11	47	255	255
16	BRAIN_STEM	BRAIN_STEM	119	158	175	255
17	HIPPOCAMPUS_LEFT	HIPPOCAMPUS_LEFT	219	216	20	255
18	AMYGDALA_LEFT	AMYGDALA_LEFT	103	255	255	255
26	ACCUMBENS_LEFT	ACCUMBENS_LEFT	255	165	0	255
28	DIENCEPHALON_VENTRAL_LEFT	DIENCEPHALON_VENTRAL_LEFT	165	42	42	255
47	CEREBELLUM_RIGHT	CEREBELLUM_RIGHT	230	147	33	255
49	THALAMUS_RIGHT	THALAMUS_RIGHT	0	117	14	255
50	CAUDATE_RIGHT	CAUDATE_RIGHT	121	186	219	255
51	PUTAMEN_RIGHT	PUTAMEN_RIGHT	235	13	175	255
52	PALLIDUM_RIGHT	PALLIDUM_RIGHT	13	47	255	255
53	HIPPOCAMPUS_RIGHT	HIPPOCAMPUS_RIGHT	219	216	20	255
54	AMYGDALA_RIGHT	AMYGDALA_RIGHT	103	255	255	255
58	ACCUMBENS_RIGHT	ACCUMBENS_RIGHT	255	165	0	255
60	DIENCEPHALON_VENTRAL_RIGHT	DIENCEPHALON_VENTRAL_RIGHT	165	42	42	255